id,text
72,অসুস্থ ব্যক্তিদের সাথে ঘনিষ্ঠ যোগাযোগ এড়িয়ে চলুন।
73,Keep your immunizations up to date.
74,আপনার টিকাগুলো আপ-টু-ডেট রাখুন।
75,Practice safe sex to prevent STIs.
76,এসটিআই প্রতিরোধের জন্য নিরাপদ যৌন অভ্যাস করুন।
77,Wear sunscreen and protective clothing when outdoors.
78,বাইরে থাকাকালীন সানস্ক্রিন এবং সুরক্ষামূলক পোশাক পরুন।
79,"Perform regular self-examinations (e.g., breast, skin)."
80,"নিয়মিত স্ব-পরীক্ষা করুন (যেমন, স্তন, ত্বক)।"
81,Rest when you feel tired or unwell.
82,ক্লান্ত বা অসুস্থ বোধ করলে বিশ্রাম নিন।
83,Avoid strenuous activities while recovering from illness.
84,অসুস্থতা থেকে সেরে ওঠার সময় কঠোর কার্যকলাপ এড়িয়ে চলুন।
85,Gradually return to your normal routine after being sick.
86,অসুস্থতার পর ধীরে ধীরে আপনার স্বাভাবিক রুটিনে ফিরে আসুন।
87,Elevate injured limbs to reduce swelling.
88,ফোলা কমাতে আহত অঙ্গপ্রত্যঙ্গ উঁচু করে রাখুন।
89,Apply ice packs to acute injuries for 15-20 minutes at a time.
90,তীব্র আঘাতের জায়গায় একবারে ১৫-২০ মিনিটের জন্য আইস প্যাক লাগান।
91,Use heat packs for chronic muscle soreness.
92,দীর্ঘস্থায়ী পেশী ব্যথার জন্য হিট প্যাক ব্যবহার করুন।
93,Do not operate heavy machinery if you are taking medication that causes drowsiness.
94,যদি আপনি তন্দ্রা সৃষ্টিকারী ঔষধ গ্রহণ করেন তবে ভারী যন্ত্রপাতি চালাবেন না।
95,Check your blood pressure regularly if you have hypertension.
96,উচ্চ রক্তচাপ থাকলে নিয়মিত আপনার রক্তচাপ পরীক্ষা করুন।
97,Monitor your blood sugar levels as advised if you are diabetic.
98,ডায়াবেটিস থাকলে পরামর্শ অনুযায়ী আপনার রক্তে শর্করার মাত্রা নিরীক্ষণ করুন।
99,Keep a log of your symptoms to discuss with your doctor.
100,আপনার ডাক্তারের সাথে আলোচনা করার জন্য আপনার লক্ষণগুলোর একটি লগ রাখুন।
101,Do not ignore new or worsening symptoms.
102,নতুন বা ক্রমবর্ধমান লক্ষণ উপেক্ষা করবেন না।
103,Seek immediate medical attention for severe symptoms like chest pain or difficulty breathing.
104,বুকব্যথা বা শ্বাসকষ্টের মতো গুরুতর লক্ষণের জন্য অবিলম্বে চিকিৎসকের সহায়তা নিন।
105,Maintain good posture to prevent back pain.
106,পিঠের ব্যথা প্রতিরোধের জন্য সঠিক অঙ্গবিন্যাস বজায় রাখুন।
107,Take regular breaks if you have a sedentary job.
108,যদি আপনার বসে কাজ করার অভ্যাস থাকে তবে নিয়মিত বিরতি নিন।
109,Limit screen time and take breaks to avoid eye strain.
110,চোখের চাপ এড়াতে স্ক্রিন টাইম সীমিত করুন এবং বিরতি নিন।
111,Brush and floss your teeth daily to maintain oral hygiene.
112,মুখের স্বাস্থ্যবিধি বজায় রাখতে প্রতিদিন দাঁত ব্রাশ করুন এবং ফ্লস করুন।
113,Wear appropriate safety gear during sports and other activities.
114,খেলাধুলা এবং অন্যান্য কার্যকলাপের সময় উপযুক্ত সুরক্ষা গিয়ার পরুন।
115,Ensure your living space is free from fall hazards.
116,আপনার থাকার জায়গা যেন পতনের ঝুঁকি থেকে মুক্ত থাকে তা নিশ্চিত করুন।
117,Avoid driving if you are feeling dizzy or unwell.
118,মাথা ঘোরা বা অসুস্থ বোধ করলে গাড়ি চালানো এড়িয়ে চলুন।
119,Stay informed about your medical condition.
120,আপনার শারীরিক অবস্থা সম্পর্কে অবগত থাকুন।
121,Take your iron supplements with a source of Vitamin C to increase absorption.
122,আয়রন শোষণের মাত্রা বাড়াতে ভিটামিন সি যুক্ত খাবারের সাথে আয়রন সম্পূরক গ্রহণ করুন।
123,"If you have asthma, always carry your rescue inhaler with you."
124,"আপনার যদি হাঁপানি থাকে, তবে সর্বদা আপনার রেসকিউ ইনহেলার সাথে রাখুন।"
125,Avoid known triggers for your allergies or asthma.
126,আপনার অ্যালার্জি বা হাঁপানির পরিচিত কারণগুলো এড়িয়ে চলুন।
127,Use a humidifier to ease congestion from a cold.
128,সর্দি থেকে মুক্তি পেতে একটি হিউমিডিফায়ার ব্যবহার করুন।
129,Gargle with salt water to soothe a sore throat.
130,গলা ব্যথা উপশম করতে লবণ জল দিয়ে গার্গল করুন।
131,"For minor burns, run cool water over the area for several minutes."
132,"ছোটখাটো পোড়ার জন্য, কয়েক মিনিটের জন্য ঠান্ডা জল দিয়ে জায়গাটি ধুয়ে ফেলুন।"
133,Keep wounds clean and covered with a sterile bandage.
134,ক্ষতস্থান পরিষ্কার রাখুন এবং একটি জীবাণুমুক্ত ব্যান্ডেজ দিয়ে ঢেকে রাখুন।
135,Do not pick at scabs or skin lesions.
136,ক্ষতের উপরের চামড়া বা ত্বকের ক্ষত খুঁটবেন না।
137,"Moisturize your skin daily, especially if it's dry."
138,"প্রতিদিন আপনার ত্বককে ময়েশ্চারাইজ করুন, বিশেষ করে যদি এটি শুষ্ক থাকে।"
139,"If you have acid reflux, avoid lying down for 2-3 hours after eating."
140,"আপনার যদি অ্যাসিড রিফ্লাক্স হয়, তবে খাওয়ার পর ২-৩ ঘণ্টা শুয়ে থাকা এড়িয়ে চলুন।"
141,Chew your food slowly and thoroughly.
142,আপনার খাবার ধীরে ধীরে এবং ভালোভাবে চিবিয়ে খান।
143,Incorporate probiotics into your diet for gut health.
144,পেটের স্বাস্থ্যের জন্য আপনার খাদ্যে প্রোবায়োটিক অন্তর্ভুক্ত করুন।
145,"If you have joint pain, low-impact exercises like swimming can be beneficial."
146,"আপনার যদি জয়েন্টে ব্যথা হয়, তবে সাঁতারের মতো কম-প্রভাবের ব্যায়াম উপকারী হতে পারে।"
147,Stretch regularly to maintain flexibility and reduce stiffness.
148,নমনীয়তা বজায় রাখতে এবং শক্তভাব কমাতে নিয়মিত স্ট্রেচ করুন।
149,Don't lift heavy objects with your back; use your legs.
150,"ভারী জিনিস তোলার সময় পিঠ দিয়ে নয়, পা দিয়ে তুলুন।"
151,"If you feel anxious or depressed, talk to someone you trust or a professional."
152,"আপনি যদি উদ্বিগ্ন বা বিষণ্ণ বোধ করেন, তবে আপনার বিশ্বাসভাজন কারো সাথে বা একজন পেশাদারের সাথে কথা বলুন।"
153,Limit your exposure to news and social media if it causes stress.
154,মানসিক চাপ সৃষ্টি করলে খবর এবং সোশ্যাল মিডিয়া থেকে আপনার সংস্পর্শ সীমিত করুন।
155,Practice mindfulness and stay present in the moment.
156,মননশীলতা অনুশীলন করুন এবং বর্তমান মুহূর্তে থাকুন।
157,Set realistic goals for yourself to avoid feeling overwhelmed.
158,অতিরিক্ত চাপ এড়াতে নিজের জন্য বাস্তবসম্মত লক্ষ্য নির্ধারণ করুন।
159,Celebrate small achievements to stay positive.
160,ইতিবাচক থাকার জন্য ছোট ছোট অর্জনগুলো উদযাপন করুন।
161,"If you are pregnant, attend all prenatal check-ups."
162,"আপনি যদি গর্ভবতী হন, তবে সমস্ত প্রসবপূর্ব চেক-আপে অংশ নিন।"
163,Take prenatal vitamins as recommended by your doctor.
164,আপনার ডাক্তারের পরামর্শ অনুযায়ী প্রসবপূর্ব ভিটামিন গ্রহণ করুন।
165,Avoid raw or undercooked foods during pregnancy.
166,গর্ভাবস্থায় কাঁচা বা কম রান্না করা খাবার এড়িয়ে চলুন।
167,Do not consume alcohol or smoke during pregnancy.
168,গর্ভাবস্থায় অ্যালকোহল বা ধূমপান করবেন না।
169,"For children, ensure they receive all recommended vaccinations on schedule."
170,"শিশুদের জন্য, নিশ্চিত করুন যে তারা সময়সূচী অনুযায়ী সমস্ত প্রস্তাবিত টিকা পেয়েছে।"
171,Childproof your home to prevent accidents.
172,দুর্ঘটনা প্রতিরোধের জন্য আপনার বাড়ি শিশুবান্ধব করুন।
173,Supervise young children near water.
174,ছোট শিশুদের জলের কাছে তত্ত্বাবধান করুন।
175,Ensure children wear helmets when biking or skating.
176,নিশ্চিত করুন যে শিশুরা বাইক চালানো বা স্কেটিং করার সময় হেলমেট পরে।
177,Limit sugary drinks and snacks for children.
178,শিশুদের জন্য চিনিযুক্ত পানীয় এবং স্ন্যাকস সীমিত করুন।
179,Encourage active play for children every day.
180,প্রতিদিন শিশুদের সক্রিয় খেলাধুলায় উৎসাহিত করুন।
181,"If you have a fever, stay hydrated and rest."
182,"আপনার যদি জ্বর হয়, তবে হাইড্রেটেড থাকুন এবং বিশ্রাম নিন।"
183,"Use over-the-counter pain relievers for fever and aches, as directed."
184,জ্বর এবং ব্যথার জন্য নির্দেশ অনুযায়ী ওভার-দ্য-কাউন্টার ব্যথা উপশমকারী ব্যবহার করুন।
185,Clean and disinfect frequently touched surfaces to prevent the spread of germs.
186,জীবাণুর বিস্তার রোধ করতে প্রায়শই স্পর্শ করা পৃষ্ঠগুলো পরিষ্কার এবং জীবাণুমুক্ত করুন।
187,"If you have diarrhea, drink plenty of fluids to prevent dehydration."
188,"আপনার যদি ডায়রিয়া হয়, তবে ডিহাইড্রেশন প্রতিরোধের জন্য প্রচুর পরিমাণে তরল পান করুন।"
189,"Follow the BRAT diet (bananas, rice, applesauce, toast) for diarrhea."
190,"ডায়রিয়ার জন্য ব্র্যাট ডায়েট (কলা, ভাত, আপেলসস, টোস্ট) অনুসরণ করুন।"
191,"If you are constipated, increase your intake of water and fiber-rich foods."
192,"আপনার যদি কোষ্ঠকাঠিন্য হয়, তবে জল এবং ফাইবার সমৃদ্ধ খাবারের গ্রহণ বাড়ান।"
193,"For a minor cut, apply direct pressure with a clean cloth."
194,"একটি ছোটখাটো কাটার জন্য, একটি পরিষ্কার কাপড় দিয়ে সরাসরি চাপ প্রয়োগ করুন।"
195,Seek medical care for deep cuts or those that don't stop bleeding.
196,গভীর কাটা বা যে কাটা থেকে রক্তপাত বন্ধ হয় না তার জন্য চিকিৎসকের সহায়তা নিন।
197,"If you have diabetes, inspect your feet daily for any sores or changes."
198,"আপনার যদি ডায়াবেটিস থাকে, তবে কোনো ক্ষত বা পরিবর্তনের জন্য প্রতিদিন আপনার পা পরিদর্শন করুন।"
199,Know the signs of a heart attack and stroke and act quickly.
200,হার্ট অ্যাটাক এবং স্ট্রোকের লক্ষণগুলো জানুন এবং দ্রুত ব্যবস্থা নিন।
