id,text
172,নতুন খাদ্যাভ্যাসের প্রথম সপ্তাহ পর আসুন খোঁজখবর নিই।
173,Follow up to assess for any long-term complications.
174,যেকোনো দীর্ঘমেয়াদী জটিলতার জন্য মূল্যায়ন করতে ফলো-আপ করুন।
175,Return for a comprehensive medication review.
176,একটি ব্যাপক ঔষধ পর্যালোচনার জন্য ফিরে আসুন।
177,We'll schedule a follow-up once the specialist's report is received.
178,বিশেষজ্ঞের রিপোর্ট পাওয়ার পর আমরা একটি ফলো-আপ নির্ধারণ করব।
179,Come back if you are unable to tolerate the medication.
180,আপনি যদি ঔষধটি সহ্য করতে না পারেন তবে ফিরে আসুন।
181,Follow up to ensure your blood counts have returned to normal.
182,আপনার রক্তের গণনা স্বাভাবিক অবস্থায় ফিরে এসেছে কিনা তা নিশ্চিত করতে ফলো-আপ করুন।
183,Return if you have any questions about the treatment plan.
184,চিকিৎসা পরিকল্পনা সম্পর্কে আপনার কোনো প্রশ্ন থাকলে ফিরে আসুন।
185,Let's follow up by phone to check your blood pressure readings.
186,আসুন আপনার রক্তচাপের রিডিং পরীক্ষা করার জন্য ফোনে ফলো-আপ করি।
187,Schedule a visit to go over your preventative care needs.
188,আপনার প্রতিরোধমূলক যত্নের প্রয়োজনগুলো পর্যালোচনা করার জন্য একটি পরিদর্শন নির্ধারণ করুন।
189,Come back if the symptoms recur after treatment.
190,চিকিৎসার পর যদি উপসর্গগুলো আবার দেখা দেয় তবে ফিরে আসুন।
191,Follow up to discuss your transition of care.
192,আপনার যত্নের স্থানান্তর নিয়ে আলোচনা করতে ফলো-আপ করুন।
193,Return for a reassessment of your pain management plan.
194,আপনার ব্যথা ব্যবস্থাপনা পরিকল্পনার পুনর্মূল্যায়নের জন্য ফিরে আসুন।
195,We need to see you again before authorizing more physical therapy sessions.
196,আরও ফিজিওথেরাপি সেশনের অনুমোদন দেওয়ার আগে আমাদের আপনাকে আবার দেখতে হবে।
197,Follow up for an assessment of your mobility and fall risk.
198,আপনার গতিশীলতা এবং পতনের ঝুঁকি মূল্যায়নের জন্য ফলো-আপ করুন।
199,Please schedule your follow-up appointment at the front desk before you leave.
200,যাওয়ার আগে দয়া করে ফ্রন্ট ডেস্কে আপনার ফলো-আপ অ্যাপয়েন্টমেন্ট নির্ধারণ করুন।
